m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,h_hot,h_cold,error,iteration
7.4968250914637595,8.093995542297726,206.45075862881032,28.60042633272733,0.0014023014813939437,0.00037435284993845615,38.31120533697842,66.84441950226787,1293286.155357342,530.7911616283844,444175.4944607648,14798.496325540924,5.891157428550287e-07,28
6.224063373979344,4.960882803127594,214.4003194773731,25.476422177887468,0.0010290455292684406,0.0005205870304536205,30.26005444750382,82.21033379159914,1175899.2969076876,612.6628270448982,398516.42744102736,23486.701669403443,6.487230379548237e-07,28
6.681818201367033,5.091408320270487,230.37410576839838,24.875559546679774,0.00010196512361254132,0.0002200049042056469,102.4786329673998,66.09393056535433,876793.2297830427,151.72759154549422,164.10783320107342,7260.334725208262,8.783897129660545e-07,27
7.1204618738109104,10.296641140137874,236.0197059713331,25.439465972577807,0.0011126526451057652,0.0004103215041477634,30.637532853837826,60.317681603853444,1500438.7475078898,619.6100971088663,431035.8009440422,19560.27046489808,7.278553155742884e-07,28
4.869892493948904,4.5978240563447335,246.084241925504,21.494922525850292,0.0015643574576439721,0.0003041127054506825,25.828061647884027,78.78429355590777,1100512.140975914,493.4399560427379,345402.0238021738,8494.46728426025,7.832653068362561e-07,28
5.532705226988632,8.51179991938466,210.22701379932175,28.565283046832977,0.0005025043929325833,0.00022903416685786737,38.70794945031378,55.94364432105013,973637.4988721068,367.73516573226937,540.4337544196428,10005.583263483568,6.017054019480383e-07,28
6.471886962951893,6.648086822464461,188.11563664300908,24.27710834938026,0.0011340148509439835,0.0004338024279946908,28.319775709934845,62.47845668420213,1061069.4485832043,599.7570455066984,407691.92643738777,16786.493632230267,5.580330686427715e-07,28
4.0120741134718605,5.907650206967311,179.9431021013879,21.2262425691288,0.0011268770772335113,0.00014926048639835385,21.357710185649836,47.6744522410387,652799.0106676003,683.1296349746783,308507.11106392916,6804.016117577469,5.53523719304394e-07,28
6.41281566836437,8.70686648959072,229.03851471850268,21.422673015065648,0.0013614813912995866,3.570254162299711e-05,24.749641393503794,58.37233841238535,1344128.6268120643,632.5720583080049,405518.3470401782,6959.055780986554,7.237824561912021e-07,28
5.819592532954816,3.33956635079473,237.1905223491758,28.83206134781112,0.0015150530408655433,0.0002507683208268463,39.710563485286315,113.34135167367,1179133.4692568409,507.73850523028625,383207.0195168646,6112.961317980328,6.984172742363626e-07,28
5.693130179322403,3.6085551044507707,190.15966768838285,22.028445933223576,0.0014373221497679955,0.0003172169743388779,28.96435809563613,84.48084106092323,941566.2347346842,519.4370487595472,378330.00192185194,7664.081441385738,5.632464201710263e-07,28
8.131850405697513,3.825582493008072,218.61481089406078,26.43428016166656,0.001528764347734426,0.00010243362824811041,48.97522380525169,114.98619183035107,1415350.3224628435,532.5319369355418,465737.80475516507,4831.465387763844,5.94703806200414e-07,28
7.224874429889541,1.022717988198948,228.93125793747706,28.006448061712806,0.001096665106558896,0.0003870443443876346,116.04675396507915,223.84025332332286,836781.3518042464,575.0727755501183,434709.51849619765,4642.514544147067,7.665492915975847e-07,27
7.624142457006872,7.354870085565447,238.50464150184123,25.12121112642409,0.0017217510128100914,0.0002903171749274425,42.86117870458551,74.924756812193,1530395.5855582603,466.2297212364364,448557.82504970155,10744.848986120358,6.915757921888144e-07,28
5.366641271908227,8.834974851527491,186.9393451561038,21.833513547676848,0.0008687341101978725,0.0001786246059428506,22.054622331088467,46.42906658755982,907883.9647439924,835.3929416335399,365525.4992623492,9136.844765810409,5.769905548902443e-07,28
4.427900311319074,8.721554515834594,211.67347829505232,25.989363373646377,0.00032572140500690806,0.0003781833499618972,53.88039614585102,45.66237367356146,716858.0305493282,185.15703051691756,217.59884173074565,15673.081442343682,5.505721389909013e-07,28
7.91591832456252,9.077018580966461,196.24290385857216,24.94747720966123,0.0007985060144162508,0.0003321647853748513,27.707261306557996,61.04095797728656,1368801.3551311123,804.4040803164064,458487.3349466584,13735.430810319485,5.905912914272449e-07,28
6.927864318334304,2.114191924559818,227.32227564173652,29.911219856032066,0.00025610373405987336,0.0004520842915484364,106.83207990057863,126.86965528106327,856442.9607066751,194.28414683072617,232.83085945276503,9394.169237404294,8.232161121668469e-07,27
7.463192010242051,5.418410860684162,228.78993448827737,25.693517464156862,0.0001928109068721354,0.0002558264807738692,96.61169045263216,70.40217043756635,1012119.8767998323,185.95218236241467,209.65358086372814,8209.09042758145,9.102988514086974e-07,27
4.38444811353795,4.6754891438848265,204.8151688701255,22.219754270502527,0.0006457994377088307,2.7051952831804586e-05,22.249200537860105,64.2620702654759,821262.7418523463,990.1152618907821,11079.883990202396,4776.042335697631,6.428583283479838e-07,28
4.018996819645739,5.074430980307416,202.96950036799055,25.77190927972937,0.001248295413780701,0.0002520861341837399,26.18213204503232,60.15623155663668,728981.0756906404,599.2048045604623,308817.34159972443,7827.251545944461,6.213313668013143e-07,28
5.444337541369982,5.279832468845565,213.20016052680072,29.6273494071095,0.001251193342131791,0.0003008586217300618,32.33998240108386,75.42537758465915,1010265.1178039284,587.5841466259349,368601.4530755801,9122.507759059474,6.365037634736836e-07,28
6.824426397802549,5.05440096754197,171.27620397843046,22.02356026881648,0.0006273666667748926,0.00038873047942874134,25.434969347186666,70.38015606843544,1021160.1235647204,709.5751657296344,3684.8962197942074,11859.757357521223,5.06048031923001e-07,28
6.4926685155617,7.419343493439566,201.32971455790513,20.838506747056012,0.00013419765852372978,0.0002695266500292282,82.28154941651442,46.42197287027811,793036.7207637687,156.92260756056928,171.42578370275132,10212.879648912136,8.124721375679655e-07,27
6.005518561678727,8.203399717307377,184.86306693435344,23.537922593047313,0.0007218495763319963,0.00013227243006758382,23.731504084456617,52.505767376203586,992838.2349481091,980.7249708795343,390297.7361895616,7970.051425661025,5.630089461305943e-07,28
6.656877173551582,1.1158086657789599,178.96689471224897,21.60729101104651,0.0004632588013161986,0.0003076396912611068,86.75811884169359,156.7000264146899,629781.8801714737,315.333325290455,476.91752200853904,3758.6873158806397,6.125031148940252e-07,27
8.229637865254094,3.4567963242587343,207.7849495124447,26.951625906854936,0.0008651813300509768,0.0004254035052607287,41.788150950198855,123.99939824969886,1401611.9709717443,703.8319932156309,468994.81952053116,11040.384306438722,5.811333636529525e-07,28
6.372738352574009,10.379793716121888,180.68677074342844,24.08259307557257,0.0013674884241657072,0.00032215843453110973,27.69594150625997,47.14909239809427,1000319.7587236714,555.847090115306,404038.91118585854,14402.154552981527,5.326823497853184e-07,28
4.4185008725908625,8.749979899172164,249.60148374843652,23.169686926045557,0.0010043960867383694,0.0003144180165679017,23.409206492749036,51.21915229408478,1025415.9745626863,695.4674973717246,326359.5877317654,12738.283943651473,8.053789919415522e-07,28
6.719878554040987,2.262120531487642,176.7113084285324,23.746366751332275,0.0016941348684610508,0.0002150805992307991,47.56413795785781,117.95907828752397,890417.4869911466,460.2649703457772,416728.10696394625,4473.343681715528,8.877156005837605e-07,27
7.159431433914014,8.83332340291339,174.03361103696324,25.289416366191354,0.0009934709490560017,0.00032345602765438504,27.952203526071543,54.36498874922579,1073052.1761858216,697.9724355097761,432409.5413055337,13161.057469354797,5.069427473358701e-07,28
7.455782156792429,8.841701420791793,211.37539502381537,24.341664039054535,0.0010072715909402437,6.171588600301903e-05,26.6583890246352,62.592697307131445,1413017.2110768126,803.1144788152103,442756.1725206778,7331.032050734958,6.50871566421074e-07,28
8.09510382234295,8.908634849514867,207.220370099882,22.943546142418924,0.0011024179979870203,0.0001885352451476005,28.520591180424674,62.819786507466915,1484204.68823069,695.7755823189459,464509.6658288691,9377.433813589527,6.284556519631224e-07,28
7.985677351638675,6.966902244184251,211.65741348815354,27.599509030717087,0.0005633542509357418,0.0004919205390526905,43.222521021958386,75.01093648929304,1380038.4403488082,494.58563531674963,1127.92933051353,23507.62340106323,5.902159685433617e-07,28
6.636694289803824,10.372214396386829,198.52676284621253,26.608162205456548,0.0016501895099017424,0.00028404954219077923,33.758193196765376,52.4982560423401,1121950.109590252,487.4146594828118,413712.83038770495,12905.720567791905,5.765578521277348e-07,28
7.108461161381323,9.747040818646676,193.81357830251494,28.298062685983925,0.0009802895350058047,0.00028993725860634715,30.66938761600497,57.51625538942618,1189856.4509232459,719.8859710940435,430612.12532901025,12648.650456554406,5.705065682093391e-07,28
6.595402359607456,10.09905333852286,222.19736546505675,23.820129461791883,2.64066023875075e-05,0.00023514023527766015,100.94096853475344,43.266753306287505,820527.8293188429,135.6601338722262,143.2016605243984,11216.264748952235,8.289247546144907e-07,27
5.048952136728548,10.518668700040331,211.75627935593053,21.79239263660798,0.0016314351867768374,0.0004531612612392502,25.091622551862173,43.7953723498888,966964.9016859898,461.5782993664846,352750.317841069,24068.343319263477,6.581271314587411e-07,28
7.505110923833656,9.958532560038424,241.01165201952125,29.807481389745156,0.0011302952985323509,0.00037913475528687454,36.25933505744251,67.70139998147967,1576642.7608308694,621.8786000071246,444461.63663575606,16992.08624580038,7.255089187196972e-07,28
8.30334259051207,3.953163573709652,218.13165893281257,29.507119950615284,0.0005246100262104713,0.00010091461054891412,56.966150628524304,112.63739156148554,1373005.9523843613,473.6355646312867,803.4150844070821,4911.188800527349,5.631354014212775e-07,28
4.186064902003691,5.832873612464839,203.9666084131356,29.57905823039748,0.0008553033181310361,0.0002822686639165503,29.662542448540847,60.29825348633315,748618.9842640103,776.9153512916417,316237.92816872295,9182.116391515036,6.120803419662479e-07,28
8.265383249169847,8.088531113358888,225.86887253056278,20.308525312724395,0.0004210909863721525,2.7957673465317477e-06,55.43936212761835,63.07633972869597,1445290.5161803816,347.19961319663673,442.32319956179754,6328.693962680271,5.976464976242823e-07,28
7.4974027282115445,1.5237666351008499,245.49544169933142,24.025676208547267,0.0013367259317951532,0.00012678263971814573,87.31544390959957,215.15304028239535,1216773.5647986396,543.0143322562625,444195.4467902593,2955.8497795451394,5.520135175629548e-07,28
7.679496321240302,9.700630202307233,183.00983882698014,23.42692593489361,0.001454391383881891,0.0004995848548820696,33.91456542433133,52.412078348995536,1174745.9953038176,493.31745123355995,450453.60644583375,29943.64943362476,5.181702746881456e-07,28
5.693089869833757,3.2483734071323243,213.20530223277598,22.792297082823765,0.00029394855165614897,9.441223789457668e-05,71.76267443857029,83.66762792209619,826181.9768357633,199.50368480973225,229.59098365991724,4328.887791576652,9.793238859856501e-07,27
4.009168768692324,5.122262098032349,172.6573753325805,28.357806453243796,0.0016849256245578864,4.8809514639544155e-05,29.14883605784408,55.94129622098769,590309.0524971532,508.6217944079689,308376.84597084165,5218.6755624409325,9.94716131685891e-07,27
6.7506260400272255,8.973947543267764,192.81105012651233,20.918602089073065,0.0015610801480947665,7.699013501257932e-05,26.379590487239682,51.663628535585104,1152727.97549895,552.5789303690846,417838.7024640046,7591.131567034644,5.827525981771942e-07,28
4.333436790333881,8.15073209205883,245.92391421888786,27.02637209964207,0.0016613386541281347,0.00018256704056656304,28.454924847305193,55.4194261372141,966890.2104013322,500.43462357183773,322681.75520632934,8790.567968482144,7.728822133401536e-07,28
4.638767370278611,5.214739630199523,204.46519485892912,28.66157621299034,0.0016345966440492314,0.0004671050707268442,31.970460425944623,66.34277682102837,820967.1822190505,454.47412328237124,335748.27878081624,17192.42213852676,6.053400554151267e-07,28
4.362066901177504,4.198494851601023,221.76223922004857,22.66633229761292,0.0012295153412582689,0.0005092743077441842,24.243250429049453,73.06121930427193,883992.4104866086,546.3470347153631,323922.9408131465,19622.588920189075,6.985626690436675e-07,28
5.355441368287439,6.6847428223859895,191.29415070539073,28.312214376658726,0.0002034174070780496,4.8722762491575215e-05,70.3751680949157,52.10164101332698,664411.459247135,163.7184277727629,176.85613716418115,6094.050014331528,8.26410825993662e-07,27
4.183058289340434,9.89057280717783,238.86063685563897,29.875842651085833,0.0004119615733494681,0.00028091015098197084,46.61028531368251,49.84310572142381,825103.4817389945,232.21742243249466,286.0743310584276,12446.730681935956,6.789354642933176e-07,28
4.633139517204438,9.341323478433408,236.78179162003335,27.967755880693424,0.00017594910391355664,0.00029162051073147315,79.75302080150172,47.09379867312467,746452.1447062299,140.5483591817576,153.1569045623135,12396.590561719677,5.477248521401634e-07,28
5.578671146742222,4.110791370477566,210.46088475746419,28.843367004644115,0.00033649983896568396,0.00029014058879167057,67.41784165630449,76.51400792377791,818737.8398202003,213.7322378092669,257.473045275355,7650.568937979542,9.91247915749227e-07,27
4.8002675582902,10.159490197763951,172.30870070110387,20.73253354957439,0.001576998839601885,0.00027379185325407125,22.148444758063306,38.155714786025094,739550.449681777,507.1450603506397,342514.4018633268,12405.079202110228,5.221376397912536e-07,28
5.183334636681896,9.482758597441178,180.01482238111615,25.86922281178166,0.0002812099839673129,8.469177220410801e-05,55.39460629532216,42.59714416926536,662742.9378124536,188.9197581678984,209.90788845093428,7945.559428788007,8.539871600987681e-07,27
4.903440550944243,4.351499629158491,210.9299408681644,24.070146687898326,0.0006427966023535268,0.00026301403321847533,24.414813298013144,75.68265314583115,938344.5517292108,830.8302295308216,8039.461853750219,7357.363261792643,6.57570090822901e-07,28
7.218365037045378,7.224116622512666,206.8313512161609,26.184842597431267,0.0016391573082857253,0.00015160765235075612,36.51427741931391,67.97665487377445,1261375.4917854206,510.03148632279004,434481.137746899,7686.589461478577,5.972276397869791e-07,28
6.368435119787207,1.766633750073789,204.2462716822239,26.113118268240882,0.0015557171992952297,0.00039128283683603104,58.98959435335021,154.70135363048666,949109.2261422019,467.0512858058731,403879.8289599338,6488.599224096471,5.038703889681528e-07,28
4.711905922416928,9.808359411400836,238.4618583539351,25.63407068890084,0.0006876089396795642,0.000407459833037403,25.72131708043966,50.73151066891366,1028476.16519025,841.2302352330885,338824.4226192447,18791.67437638545,7.552673721988867e-07,28
7.508290250524003,9.195646628788841,238.90017714571297,26.758836288226412,0.0009799375916979766,6.546069486204024e-05,29.156787506084783,68.81464479896907,1615759.4179791976,821.2725619351361,444571.39623769314,7548.598816542792,7.441021097065459e-07,28
