timestamp,m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,h_hot,h_cold,error,iteration
2023-01-01 01:00:00,4.035117369961024,2.3657053479482433,196.74838051429842,23.030293505293415,2.9984942619162106e-06,3.6212948315188983e-06,86.26234154265126,69.30906791291989,457415.5625024939,99.85477435950907,103.65621163197575,3094.550644635786,7.486793265343294e-07,27
2023-01-01 02:00:00,4.03223473972224,2.2173991677842215,195.07380331135374,23.368744242414795,7.671662641257967e-06,5.149946446046215e-06,86.30883524765716,71.93894388148216,449968.59564118896,100.33180903840916,104.36431297544235,2986.9665974404907,7.358563607340329e-07,27
2023-01-01 03:00:00,4.446907069737337,2.2174410709137433,203.57510223828672,24.560729791115442,1.7611908914097298e-05,8.744312340359725e-06,93.1185531888454,78.95790682176897,503960.94909728505,107.4401897651169,112.2243328691405,3003.685665128533,7.484596125095777e-07,27
2023-01-01 04:00:00,4.423217343381982,2.280091684427153,199.18787066943852,24.152238013245636,1.8918886303148556e-05,1.2840914724410851e-05,90.50413882482418,75.92835018468587,493230.79359717766,107.35557823453264,112.10630083387144,3072.43588054518,7.352511062208578e-07,27
2023-01-01 05:00:00,4.164835714050764,2.061684664611231,204.4736838375692,21.391268843179986,2.681762883830698e-05,1.5977858916152394e-05,89.30866490738089,78.52270518946766,492114.111829875,104.74278595060564,109.60775783969453,2911.550630753181,7.835404574052518e-07,27
2023-01-01 06:00:00,4.109901602550359,2.0388668691890777,200.86976675556065,21.77371819609273,3.260887356365869e-05,2.044321391019867e-05,87.41399159269822,77.93643240299366,478415.666036613,104.78868981401878,109.7792015997481,2913.1676601866393,7.708055846933348e-07,27
2023-01-01 07:00:00,4.458617668645734,2.2841353679945566,201.22914637758893,22.05036806445368,4.252067679378893e-05,2.2711375197560774e-05,88.37861069227132,76.14584376960477,516239.484523083,111.47425279248067,116.98875071721777,3123.839377807524,7.662961962751069e-07,27
2023-01-01 08:00:00,4.140911425097339,2.132274347334547,203.63275434606314,24.216242984965227,4.3960500700634036e-05,2.378523523190421e-05,88.67385376531705,79.04070588764175,488411.525077058,107.05388378303432,112.31924920300906,3006.151869050465,7.820047613904535e-07,27
2023-01-01 09:00:00,4.018688311521096,2.0794660940853364,204.97078629085422,24.209639471000344,4.717097480166621e-05,2.521365674670852e-05,88.0927232675866,79.67788265244909,481908.6148941972,105.72037654845352,110.96012263632396,2969.2698272017806,7.96303609718052e-07,27
2023-01-01 10:00:00,4.398341193163768,2.164783033394551,196.29920915960972,20.545662080706755,4.913661038639482e-05,2.959508331488467e-05,85.36628000545878,75.89519319440544,500606.81464842247,111.54062065524528,117.33741374145043,3061.08919059011,7.520089297941013e-07,27
2023-01-01 11:00:00,4.08343250522874,2.2004894259769294,201.29998376073422,20.16320453433921,5.070280020063328e-05,3.2365669492043075e-05,83.68591668601184,73.76067439950164,492756.1012837666,107.30478571247781,112.65650519547468,3104.2389742565656,8.017872801246995e-07,27
2023-01-01 12:00:00,4.075558742700958,2.1274608687525625,198.31342535148775,21.00988131331075,5.5228335696354246e-05,3.7042093187128595e-05,83.24325526724522,75.1435245781304,481168.5938914048,107.81085384023177,113.38291673385199,3066.894665935674,7.828337658111195e-07,27
2023-01-01 13:00:00,4.443472189281956,2.0407285958471664,202.32188371434813,24.223781325607554,6.407842424788707e-05,4.1227372803764113e-05,90.06149117210539,84.25023660469003,511795.4064570338,114.46164024891468,121.03684678605379,3013.8757400998957,7.618993009828046e-07,27
2023-01-01 14:00:00,4.4180357640383425,2.1765138077454687,202.51654255191988,21.32865772280627,6.890202343652018e-05,4.473854502635751e-05,86.63282487715513,79.09423862271935,525289.8477949105,115.06783177436813,121.63003849743652,3147.3032354835295,7.888951785162135e-07,27
2023-01-01 15:00:00,4.401287158140884,2.480969965958751,202.54562263726498,23.87669538851785,7.873088384164406e-05,4.961998952915418e-05,85.37417556579572,74.9223663208714,529113.5201141494,116.83752216096023,123.44114492298198,3424.4605812989794,7.984895091794897e-07,27
2023-01-01 16:00:00,4.321416692973074,2.0166114524671164,196.25093239485992,24.524777365166507,8.746744086477643e-05,5.062110585522063e-05,85.26892638994362,82.92781170440782,492069.0801968845,116.71613622297058,124.01965776134593,3039.7982000325455,7.523745608750687e-07,27
2023-01-01 17:00:00,4.433511216210267,2.268129706794475,198.70105585461963,21.297196266400373,9.682143874185712e-05,5.3721220648733466e-05,82.3875727669795,77.12993235625392,529084.7372940396,120.39767969991108,128.00546574831054,3272.2637740395276,7.920971825114975e-07,27
2023-01-01 18:00:00,4.175102545652776,2.1097302241332883,195.27055374764637,21.806215496233186,0.00010097271343741164,5.469430182946616e-05,79.98185141453648,77.83431588305501,493857.0506154676,117.07591495021654,124.53230987844195,3142.135858707606,7.844619602792591e-07,27
2023-01-01 19:00:00,4.082751757493389,2.344017230463252,203.1201503856282,20.632643853008265,0.00010926633855089897,5.637101687800982e-05,78.56034027485177,73.91078171232755,521769.0000175285,117.44482344958072,124.79665200157761,3350.4897060421313,8.535371023299376e-07,27
2023-01-01 20:00:00,4.333133700400892,2.248620007350511,197.86833122424017,22.557666371185864,0.00011823049136085439,5.8309929730608704e-05,80.31066341755721,78.18854328298158,522637.31250862643,122.98935448856523,131.37224728388802,3280.981894402998,8.013670651507709e-07,27
