m_dot_hot,m_dot_cold,T_hot_in,T_cold_in,R_f_hot,R_f_cold,T_hot_out,T_cold_out,Q_actual,U_overall,NTU,epsilon,h_hot,h_cold,error,iteration,Velocity_hot,Velocity_cold,timestamp,run_id
4.1351085651227955,2.238006497778982,204.25949055080713,23.984056098109413,8.88685349371583e-06,7.643824642838443e-07,84.93608645686597,78.12553727019656,506244.02627596457,147.8025364328201,1.331332558977146,0.6618949745216135,154.94485821137405,3777.524711855471,8.145228349576428e-07,27,167.97093854589306,0.053515987742028384,2023-01-01 01:00:00,0
4.441651774688191,2.3087103345468503,204.0985566875355,20.494345568376808,1.2873007488026909e-05,1.7324106161692654e-06,84.99081937107293,76.76655398336285,542790.0052443607,153.78849627309165,1.2893274511328565,0.6487200734146666,161.54136350635005,3846.648815340882,8.129159851932855e-07,27,180.42293341003295,0.0552066824140674,2023-01-01 02:00:00,0
4.179412285633493,2.1510743783909803,197.34215554501483,24.332756926063183,2.2646026743666058e-05,6.342199531600365e-06,83.9703885216722,78.42607582269736,486146.86719581106,148.11891722468724,1.3198962231867424,0.6552925328238425,155.9105369045309,3691.2738430712384,7.701796818082585e-07,27,169.77058597910036,0.05143723674636604,2023-01-01 03:00:00,0
4.035475949720926,2.160242338168597,204.34157140922684,22.271433879495394,2.5140268596493144e-05,9.277941469730776e-06,88.89270493394903,76.3347867702328,501475.0064832824,145.47445392723128,1.3398670950557252,0.6630674324538667,153.83408090521527,3718.5143741476186,8.249638909774148e-07,27,163.92379355434747,0.051656464180944654,2023-01-01 04:00:00,0
4.139594274667946,2.2843319576759242,197.00167570474542,24.24172613014659,2.5193775052791282e-05,1.42744720323075e-05,82.64975197428497,75.13037993160927,485678.20355994866,147.31056386188175,1.3252900151702454,0.6619122314635927,155.04282790905853,3822.916160654618,7.774824126727253e-07,27,168.1531511360771,0.05462373820944165,2023-01-01 05:00:00,0
4.384985284166601,2.0109881479279372,203.12991900182433,24.368112773086498,2.827987298386773e-05,1.9181554070425752e-05,89.15257760489584,85.3998984600551,512783.4778375673,151.4326335334499,1.2858847184775133,0.637593364049403,160.33661939576828,3549.1625965301428,7.746915571260615e-07,27,178.12110180220168,0.04808744620745246,2023-01-01 06:00:00,0
4.09546948409726,2.481094500255772,201.57156764731684,21.659799699709787,3.354968219938576e-05,1.9205692680582496e-05,81.03531077127774,70.52019926343466,506487.5283689679,146.417446114529,1.3314031022189927,0.6699742782314331,154.07719041587168,4011.577608026109,8.235592900973643e-07,27,166.36077195943048,0.059328792384772906,2023-01-01 07:00:00,0
4.130939677939718,2.37622396333933,201.03893478667246,22.33380340434241,3.511255801766981e-05,2.2187376812531545e-05,82.26444033965862,73.04029909800389,503407.1789061986,146.88300111421444,1.3241150121219434,0.6646395295326029,154.85376830116002,3911.834643411886,8.104331357117189e-07,27,167.80159549677953,0.05682109172631195,2023-01-01 08:00:00,0
4.2711865496498485,2.403168817777416,199.80831830226583,24.711634436680182,3.6322281075501574e-05,2.5860765201097164e-05,84.57311945613802,75.00704303830385,504987.99817310984,149.54685562827035,1.3037010842492673,0.6581232511210151,157.89744250177472,3937.6343632297476,7.840633315936429e-07,27,173.49851936184288,0.05746540643283777,2023-01-01 09:00:00,0
4.069445200491102,2.336146326881414,201.32610671715952,20.475752946462862,3.864233107972434e-05,2.751539874336954e-05,80.86119713356737,72.00747396752521,502971.2071839897,145.42791778955507,1.3308219227694766,0.6661027035442338,153.50563448084017,3873.2334638834586,8.230277046550327e-07,27,165.30364775737678,0.05586274138035013,2023-01-01 10:00:00,0
